id,date,qty
FOODS_3_226,2023-01-01,50
FOODS_3_226,2023-01-02,55
FOODS_3_226,2023-01-03,77
FOODS_3_226,2023-01-04,81
FOODS_3_226,2023-01-05,85
FOODS_3_226,2023-01-06,49
FOODS_3_226,2023-01-07,47
FOODS_3_226,2023-01-08,48
FOODS_3_226,2023-01-09,61
FOODS_3_226,2023-01-10,69
FOODS_3_226,2023-01-11,82
FOODS_3_226,2023-01-12,73
FOODS_3_226,2023-01-13,56
FOODS_3_226,2023-01-14,77
FOODS_3_226,2023-01-15,52
FOODS_3_226,2023-01-16,58
FOODS_3_226,2023-01-17,77
FOODS_3_226,2023-01-18,72
FOODS_3_226,2023-01-19,75
FOODS_3_226,2023-01-20,56
FOODS_3_226,2023-01-21,47
FOODS_3_226,2023-01-22,48
FOODS_3_226,2023-01-23,70
FOODS_3_226,2023-01-24,75
FOODS_3_226,2023-01-25,77
FOODS_3_226,2023-01-26,69
FOODS_3_226,2023-01-27,60
FOODS_3_226,2023-01-28,50
FOODS_3_226,2023-01-29,53
FOODS_3_226,2023-01-30,67
FOODS_3_226,2023-01-31,90
FOODS_3_226,2023-02-01,78
FOODS_3_226,2023-02-02,69
FOODS_3_226,2023-02-03,81
FOODS_3_226,2023-02-04,52
FOODS_3_226,2023-02-05,86
FOODS_3_226,2023-02-06,65
FOODS_3_226,2023-02-07,73
FOODS_3_226,2023-02-08,76
FOODS_3_226,2023-02-09,77
FOODS_3_226,2023-02-10,62
FOODS_3_226,2023-02-11,52
FOODS_3_226,2023-02-12,50
FOODS_3_226,2023-02-13,67
FOODS_3_226,2023-02-14,80
FOODS_3_226,2023-02-15,84
FOODS_3_226,2023-02-16,79
FOODS_3_226,2023-02-17,60
FOODS_3_226,2023-02-18,53
FOODS_3_226,2023-02-19,81
FOODS_3_226,2023-02-20,103
FOODS_3_226,2023-02-21,84
FOODS_3_226,2023-02-22,74
FOODS_3_226,2023-02-23,73
FOODS_3_226,2023-02-24,58
FOODS_3_226,2023-02-25,48
FOODS_3_226,2023-02-26,53
FOODS_3_226,2023-02-27,76
FOODS_3_226,2023-02-28,75
FOODS_3_226,2023-03-01,91
FOODS_3_226,2023-03-02,65
FOODS_3_226,2023-03-03,59
FOODS_3_226,2023-03-04,52
FOODS_3_226,2023-03-05,57
FOODS_3_226,2023-03-06,108
FOODS_3_226,2023-03-07,87
FOODS_3_226,2023-03-08,82
FOODS_3_226,2023-03-09,73
FOODS_3_226,2023-03-10,65
FOODS_3_226,2023-03-11,51
FOODS_3_226,2023-03-12,49
FOODS_3_226,2023-03-13,62
FOODS_3_226,2023-03-14,76
FOODS_3_226,2023-03-15,89
FOODS_3_226,2023-03-16,77
FOODS_3_226,2023-03-17,65
FOODS_3_226,2023-03-18,50
FOODS_3_226,2023-03-19,56
FOODS_3_226,2023-03-20,72
FOODS_3_226,2023-03-21,120
FOODS_3_226,2023-03-22,89
FOODS_3_226,2023-03-23,72
FOODS_3_226,2023-03-24,60
FOODS_3_226,2023-03-25,51
FOODS_3_226,2023-03-26,50
FOODS_3_226,2023-03-27,72
FOODS_3_226,2023-03-28,79
FOODS_3_226,2023-03-29,86
FOODS_3_226,2023-03-30,79
FOODS_3_226,2023-03-31,64
FOODS_3_226,2023-04-01,55
FOODS_3_226,2023-04-02,55
FOODS_3_226,2023-04-03,67
FOODS_3_226,2023-04-04,82
FOODS_3_226,2023-04-05,74
FOODS_3_226,2023-04-06,68
FOODS_3_226,2023-04-07,55
FOODS_3_226,2023-04-08,48
FOODS_3_226,2023-04-09,57
FOODS_3_226,2023-04-10,64
FOODS_3_226,2023-04-11,80
FOODS_3_226,2023-04-12,95
FOODS_3_226,2023-04-13,74
FOODS_3_226,2023-04-14,65
FOODS_3_226,2023-04-15,48
FOODS_3_226,2023-04-16,54
FOODS_3_226,2023-04-17,63
FOODS_3_226,2023-04-18,80
FOODS_3_226,2023-04-19,91
FOODS_3_226,2023-04-20,65
FOODS_3_226,2023-04-21,95
FOODS_3_226,2023-04-22,53
FOODS_3_226,2023-04-23,52
FOODS_3_226,2023-04-24,60
FOODS_3_226,2023-04-25,82
FOODS_3_226,2023-04-26,81
FOODS_3_226,2023-04-27,77
FOODS_3_226,2023-04-28,61
FOODS_3_226,2023-04-29,58
FOODS_3_226,2023-04-30,54
FOODS_3_226,2023-05-01,62
FOODS_3_226,2023-05-02,82
FOODS_3_226,2023-05-03,86
FOODS_3_226,2023-05-04,83
FOODS_3_226,2023-05-05,64
FOODS_3_226,2023-05-06,52
FOODS_3_226,2023-05-07,61
FOODS_3_226,2023-05-08,61
FOODS_3_226,2023-05-09,76
FOODS_3_226,2023-05-10,77
FOODS_3_226,2023-05-11,72
FOODS_3_226,2023-05-12,53
FOODS_3_226,2023-05-13,53
FOODS_3_226,2023-05-14,53
FOODS_3_226,2023-05-15,59
FOODS_3_226,2023-05-16,73
FOODS_3_226,2023-05-17,85
FOODS_3_226,2023-05-18,78
FOODS_3_226,2023-05-19,68
FOODS_3_226,2023-05-20,62
FOODS_3_226,2023-05-21,55
FOODS_3_226,2023-05-22,61
FOODS_3_226,2023-05-23,65
FOODS_3_226,2023-05-24,83
FOODS_3_226,2023-05-25,68
FOODS_3_226,2023-05-26,56
FOODS_3_226,2023-05-27,47
FOODS_3_226,2023-05-28,52
FOODS_3_226,2023-05-29,70
FOODS_3_226,2023-05-30,78
FOODS_3_226,2023-05-31,79
FOODS_3_226,2023-06-01,66
FOODS_3_226,2023-06-02,50
FOODS_3_226,2023-06-03,47
FOODS_3_226,2023-06-04,51
FOODS_3_226,2023-06-05,73
FOODS_3_226,2023-06-06,77
FOODS_3_226,2023-06-07,85
FOODS_3_226,2023-06-08,68
FOODS_3_226,2023-06-09,51
FOODS_3_226,2023-06-10,44
FOODS_3_226,2023-06-11,48
